diagnosis,table,column,row,value,repair,extended_diagnosis,file_path,data_type,nullable
x after y violation,ss,arr_date_hq,61,2022-06-19 00:00:00,,arr_date_hq must be after ship_date (y = 2023-06-15 00:00:00),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,False
x after y violation,ss,arr_date_hq,62,2022-06-19 00:00:00,,arr_date_hq must be after ship_date (y = 2023-06-15 00:00:00),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,False
x after y violation,ss,arr_date_hq,66,2022-06-19 00:00:00,,arr_date_hq must be after ship_date (y = 2023-06-15 00:00:00),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,False
x after y violation,ss,arr_date_hq,67,2022-06-19 00:00:00,,arr_date_hq must be after ship_date (y = 2023-06-15 00:00:00),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,False
x after y violation,ss,arr_date_hq,71,2022-06-19 00:00:00,,arr_date_hq must be after ship_date (y = 2023-06-15 00:00:00),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,False
x after y violation,ss,arr_date_hq,72,2022-06-19 00:00:00,,arr_date_hq must be after ship_date (y = 2023-06-15 00:00:00),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,False
x after y violation,ss,arr_date_hq,85,2022-06-19 00:00:00,,arr_date_hq must be after ship_date (y = 2023-06-15 00:00:00),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,False
x after y violation,ss,arr_date_hq,86,2022-06-19 00:00:00,,arr_date_hq must be after ship_date (y = 2023-06-15 00:00:00),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,False
x after y violation,ss,arr_date_seq,31,2022-07-18 00:00:00,,arr_date_seq must be after arr_date_hq (y = 2022-10-13 00:00:00),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,False
x after y violation,ss,arr_date_seq,32,2022-07-18 00:00:00,,arr_date_seq must be after arr_date_hq (y = 2022-10-13 00:00:00),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,False
