Diagnosis,LogsheetType,LogsheetTab,Column,Row,Value,ExtendedDiagnosis,FilePath,DataType,Requirement
x after y violation,sediment,sampling,arr_date_hq,56,2022-06-19 00:00:00,arr_date_hq must be after ship_date (y = 2023-06-15 00:00:00),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,mandatory
x after y violation,sediment,sampling,arr_date_hq,57,2022-06-19 00:00:00,arr_date_hq must be after ship_date (y = 2023-06-15 00:00:00),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,mandatory
x after y violation,sediment,sampling,arr_date_seq,26,2022-07-18 00:00:00,arr_date_seq must be after arr_date_hq (y = 2022-10-13 00:00:00),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,mandatory
x after y violation,sediment,sampling,arr_date_seq,27,2022-07-18 00:00:00,arr_date_seq must be after arr_date_hq (y = 2022-10-13 00:00:00),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,mandatory
x after y violation,sediment,sampling,arr_date_seq,35,2022-07-18 00:00:00,arr_date_seq must be after arr_date_hq (y = 2022-10-13 00:00:00),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,mandatory
x after y violation,sediment,sampling,arr_date_seq,36,2022-07-18 00:00:00,arr_date_seq must be after arr_date_hq (y = 2022-10-13 00:00:00),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,mandatory
x after y violation,sediment,sampling,arr_date_seq,44,2022-07-18 00:00:00,arr_date_seq must be after arr_date_hq (y = 2022-10-13 00:00:00),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,mandatory
x after y violation,sediment,sampling,arr_date_seq,45,2022-07-18 00:00:00,arr_date_seq must be after arr_date_hq (y = 2022-10-13 00:00:00),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDDate,mandatory
illegal depth,sediment,sampling,depth,40,23,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
illegal depth,sediment,sampling,depth,41,23,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
illegal depth,sediment,sampling,depth,42,23,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
illegal depth,sediment,sampling,depth,43,23,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
illegal depth,sediment,sampling,depth,44,23,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
illegal depth,sediment,sampling,depth,45,23,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
illegal depth,sediment,sampling,depth,46,23,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
illegal depth,sediment,sampling,depth,47,23,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
orcid error,sediment,sampling,sampl_person,6,"Houbin, Daguin, Comtet",orcid 0000-0002-4572-3371 corresponds to person name Céline Houbin,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
orcid error,sediment,sampling,sampl_person,7,"Houbin, Daguin, Comtet",orcid 0000-0002-4572-3371 corresponds to person name Céline Houbin,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
orcid error,sediment,sampling,sampl_person,8,"Houbin, Daguin, Comtet",orcid 0000-0002-4572-3371 corresponds to person name Céline Houbin,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
orcid error,sediment,sampling,sampl_person,9,"Houbin, Daguin, Comtet",orcid 0000-0002-4572-3371 corresponds to person name Céline Houbin,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
