source_mat_id_orig,source_mat_id,sea_surf_temp,sea_surf_temp_method,ph,ph_method,sediment_temp,sediment_temp_method,redox_potential,redox_potential_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,chlorophyll,chlorophyll_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,diss_oxygen,diss_oxygen_method,magnesium,magnesium_method,methane,methane_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,oxy_stat_samp,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,particle_class,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,porosity,pressure,pressure_method,sea_surf_salinity,sea_surf_salinity_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,water_current,water_current_method
EMOBON ROSKOGO So210826 micro 1,EMOBON_ROSKOGO_So_1,17,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So210826 micro 2,EMOBON_ROSKOGO_So_2,17,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So210826 micro 3,EMOBON_ROSKOGO_So_3,17,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So210826 micro 4,EMOBON_ROSKOGO_So_4,17,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So210826 micro blank,EMOBON_ROSKOGO_So_5,irrelevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So210923 Macro 1,EMOBON_ROSKOGO_So_6,16.64,"SBE 19plus, Sea-Bird inc. sensor",,,16.56,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.22,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,
EMOBON ROSKOGO So210923 Macro 2,EMOBON_ROSKOGO_So_7,16.64,"SBE 19plus, Sea-Bird inc. sensor",,,16.56,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.22,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,
EMOBON ROSKOGO So210923 Macro 3,EMOBON_ROSKOGO_So_8,16.64,"SBE 19plus, Sea-Bird inc. sensor",,,16.56,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.22,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,
EMOBON ROSKOGO So210923 Macro 4,EMOBON_ROSKOGO_So_9,16.64,"SBE 19plus, Sea-Bird inc. sensor",,,16.56,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.22,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,
EMOBON ROSKOGO So210923 Macro blank,EMOBON_ROSKOGO_So_10,irrelevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.22,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,
EMOBON ROSKOGO So211119 meio 1,EMOBON_ROSKOGO_So_11,13,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So211119 meio 2,EMOBON_ROSKOGO_So_12,13,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So211119 meio 3,EMOBON_ROSKOGO_So_13,13,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So211119 meio 4,EMOBON_ROSKOGO_So_14,13,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So211119 meio blank,EMOBON_ROSKOGO_So_15,irrelevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So211119 micro 1,EMOBON_ROSKOGO_So_16,13,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So211119 micro 2,EMOBON_ROSKOGO_So_17,13,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So211119 micro 3,EMOBON_ROSKOGO_So_18,13,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So211119 micro 4,EMOBON_ROSKOGO_So_19,13,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So211119 micro blank,EMOBON_ROSKOGO_So_20,irrelevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So220301 Macro 1,EMOBON_ROSKOGO_So_21,12,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So220301 Macro 2,EMOBON_ROSKOGO_So_22,12,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So220301 Macro 3,EMOBON_ROSKOGO_So_23,12,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So220301 Macro 4,EMOBON_ROSKOGO_So_24,12,deduced from temperature measured at Estacade on 1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So220301 Macro blank,EMOBON_ROSKOGO_So_25,irrelevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON ROSKOGO So220303 micro 1,EMOBON_ROSKOGO_So_26,10.16,"SBE 19plus, Sea-Bird inc. sensor",,,10.3,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.01,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,
EMOBON ROSKOGO So220303 micro 2,EMOBON_ROSKOGO_So_27,10.16,"SBE 19plus, Sea-Bird inc. sensor",,,10.3,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.01,"SBE 19plus, Sea-Bird inc. sensor",,,,,,,,
